input time level
1000 1.03
2000 1.75
3000 2.96
4000 4.87
5000 7
6000 9.92
7000 13.02
8000 17.48
9000 23.03
10000 29.96
11000 36.47
12000 43.91
13000 52.92
14000 61.5
15000 71
16000 81.66
17000 98.66
18000 112.47
19000 129.4
20000 147.01
