input time level
1000 0.490 1
2000 1.960 2
3000 4.520 3
4000 8.160 4
5000 13.450 5
6000 18.380 6
7000 25.240 7
8000 33.250 8
9000 42.950 9
10000 52.530 10
11000 64.370 11
12000 77.130 12
13000 90.270 13
14000 104.850 14
15000 120.700 15
16000 137.110 16
17000 159.480 17
18000 178.200 18
19000 198.810 19
20000 227.020 20
