input time level
1000 1.510 1
2000 3.080 2
3000 5.910 3
4000 10.380 4
5000 8.620 5
6000 11.820 6
7000 15.720 7
8000 28.880 8
9000 31.920 9
10000 42.550 10
11000 52.640 11
12000 68.310 12
13000 79.630 13
14000 93.310 14
15000 106.090 15
16000 126.880 16
17000 142.710 17
18000 163.310 18
19000 187.140 19
20000 215.670 20
