input time level
1000 0.44 1
2000 1.960 2
3000 4.75 3
4000 8.22 4
5000 13.38 5
6000 18.47 6
7000 25.240 7
8000 33.26 8
9000 43.01 9
10000 52.73 10
11000 64.76 11
12000 76.76 12
13000 90.270 13
14000 105 14
15000 120.700 15
16000 137.110 16
17000 158.73 17
18000 179.31 18
19000 207.08 19
20000 232.58 20
