input time level
1000 1.12 1
2000 1.67 2
3000 2.6 3
4000 3.9 4
5000 5.57 5
6000 7.42 6
7000 9.33 7
8000 11.66 8
9000 14.01 9
10000 16.87 10
11000 20.19 11
12000 23.03 12
13000 27.29 13
14000 30.77 14
15000 36.2 15
16000 39.41 16
17000 47.69 17
18000 52.67 18
19000 60.74 19
20000 72.05 20
