input time level
1000 1.130 1
2000 1.710 2
3000 2.580 3
4000 3.910 4
5000 5.530 5
6000 7.410 6
7000 9.230 7
8000 11.760 8
9000 14.190 9
10000 16.990 10
11000 19.810 11
12000 24.420 12
13000 27.550 13
14000 32.090 14
15000 36.490 15
16000 41.410 16
17000 49.660 17
18000 52.400 18
19000 61.740 19
20000 77.520 20
