input time level
1000 4.650 1
2000 18.280 2
3000 41.470 3
4000 74.400 4
5000 116.580 5
6000 169.400 6
7000 231.160 7
8000 302.780 8
9000 386.240 9
10000 478.470 10
11000 595.400 11
12000 707.650 12
13000 838.510 13
14000 982.780 14
15000 1166.030 15
16000 1361.580 16
17000 1553.570 17
18000 1767.420 18
19000 1980.740 19
20000 2203.800 20
