input time level
1000 1.55 1
2000 2.94 2
3000 5.71 3
4000 10.37 4
5000 8.62 5
6000 11.85 6
7000 16.02 7
8000 28.57 8
9000 31.92 9
10000 41.79 10
11000 52.7 11
12000 67.13 12
13000 79.63 13
14000 93.26 14
15000 107.29 15
16000 126.88 16
17000 143.53 17
18000 166.78 18
19000 190.7 19
20000 215.67 20
