input time level
1000 1.15 1
2000 2.12 2
3000 3.75 3
4000 6.21 4
5000 8.18 5
6000 14.13 6
7000 17.94 7
8000 24.42 8
9000 31.17 9
10000 40.5 10
11000 45.11 11
12000 58.14 12
13000 66.21 13
14000 77.35 14
15000 92.28 15
16000 101.67 16
17000 116.74 17
18000 137.32 18
19000 160.14 19
20000 169.03 20
