input time level
1000 4.67 1
2000 18.34 2
3000 41.47 3
4000 74.48 4
5000 116.99 5
6000 169.05 6
7000 232.54 7
8000 302.97 8
9000 388.14 9
10000 479.5 10
11000 586.79 11
12000 706.86 12
13000 835.74 13
14000 982.16 14
15000 1158.64 15
16000 1361.58 16
17000 1553.57 17
18000 1766.21 18
19000 1980.74 19
20000 2203.80 20
