input time level
1000 3.29 1
2000 13.14 2
3000 30.5 3
4000 56.75 4
5000 89.96 5
6000 136.43 6
7000 183.38 7
8000 244.17 8
9000 314.56 9
10000 377.51 10
11000 130.59 11
12000 101.96 12
13000 109.38 13
14000 100.01 14
15000 96.72 15
16000 110.6 16
17000 108.35 17
18000 89.35 18
19000 82.02 19
20000 75.52 20
