input time level
1000 0.22 1
2000 0.87 2
3000 2.01 3
4000 3.61 4
5000 5.45 5
6000 8.1 6
7000 11.59 7
8000 16.33 8
9000 21.68 9
10000 26.09 10
11000 31.87 11
12000 36.91 12
13000 45.31 13
14000 54.79 14
15000 65.12 15
16000 75.07 16
17000 91.09 17
18000 104.6 18
19000 117.11 19
20000 129.57 20
