input time level
1000 0.83 1
2000 1.28 2
3000 1.93 3
4000 3.16 4
5000 4.39 5
6000 5.8 6
7000 7.55 7
8000 9.54 8
9000 12.38 9
10000 15.5 10
11000 16.67 11
12000 21.5 12
13000 23.47 13
14000 28.43 14
15000 34.43 15
16000 39.27 16
17000 41.28 17
18000 48.81 18
19000 55.39 19
20000 66.96 20
